0.451,-0.324,9.758,0.012,0.004,-0.026
0.353,-0.275,9.767,0.011,0.007,-0.020
0.382,-0.333,9.748,0.014,0.006,-0.012
0.373,-0.333,9.758,0.010,0.010,0.001
0.373,-0.304,9.777,0.011,0.015,0.012
0.373,-0.304,9.748,0.009,0.019,0.017
0.294,-0.206,9.748,0.011,0.022,0.018
0.284,-0.235,9.738,0.014,0.021,0.022
0.245,-0.216,9.738,0.010,0.020,0.028
0.206,-0.206,9.738,0.007,0.018,0.029
0.216,-0.275,9.748,0.004,0.016,0.023
0.255,-0.245,9.709,-0.001,0.014,0.018
0.265,-0.235,9.718,0.002,0.013,0.020
0.294,-0.245,9.728,0.005,0.013,0.020
0.324,-0.216,9.699,0.006,0.013,0.018
0.402,-0.206,9.728,0.010,0.013,0.009
0.353,-0.226,9.709,0.007,0.015,-0.007
0.363,-0.206,9.709,0.001,0.014,-0.020
0.343,-0.196,9.728,0.004,0.013,-0.029
0.353,-0.186,9.728,0.008,0.011,-0.037
0.382,-0.186,9.709,-0.001,0.010,-0.041
0.431,-0.275,9.709,0.005,0.014,-0.045
0.520,-0.275,9.689,0.000,0.015,-0.042
0.500,-0.206,9.709,-0.002,0.021,-0.034
0.481,-0.196,9.718,0.000,0.024,-0.029
0.422,-0.226,9.728,-0.002,0.027,-0.024
0.431,-0.226,9.718,-0.006,0.028,-0.020
0.392,-0.226,9.738,-0.008,0.031,-0.019
0.382,-0.226,9.738,-0.010,0.032,-0.019
0.382,-0.226,9.748,-0.012,0.032,-0.018
0.353,-0.245,9.728,-0.012,0.035,-0.017
0.324,-0.226,9.748,-0.014,0.033,-0.017
0.333,-0.245,9.748,-0.011,0.034,-0.016
0.314,-0.255,9.738,-0.012,0.034,-0.014
0.265,-0.343,9.728,-0.008,0.032,-0.014
0.186,-0.294,9.728,-0.006,0.028,-0.011
0.118,-0.226,9.758,-0.005,0.023,-0.009
0.108,-0.245,9.787,-0.005,0.017,-0.010
0.127,-0.245,9.797,-0.010,0.013,-0.010
0.059,-0.275,9.777,-0.012,0.007,-0.001
0.118,-0.294,9.807,-0.008,-0.001,0.011
0.108,-0.284,9.777,-0.004,-0.004,0.022
0.098,-0.284,9.797,-0.004,-0.008,0.034
0.108,-0.294,9.787,-0.008,-0.010,0.039
0.088,-0.284,9.846,-0.010,-0.012,0.040
0.059,-0.275,9.865,-0.012,-0.018,0.037
0.069,-0.255,9.885,-0.009,-0.028,0.029
0.098,-0.255,9.865,-0.012,-0.037,0.027
0.108,-0.255,9.865,-0.007,-0.044,0.026
0.137,-0.255,9.836,-0.000,-0.051,0.023
0.177,-0.275,9.826,-0.001,-0.056,0.017
0.255,-0.265,9.846,0.006,-0.060,0.006
0.314,-0.216,9.836,0.003,-0.065,-0.010
0.353,-0.177,9.826,-0.009,-0.069,-0.020
0.422,-0.137,9.807,0.005,-0.068,-0.025
0.412,-0.216,9.816,0.017,-0.071,-0.026
0.343,-0.245,9.905,0.025,-0.085,-0.023
0.363,-0.265,9.954,0.027,-0.106,-0.030
0.422,-0.294,9.875,0.016,-0.130,-0.050
0.510,-0.265,9.797,-0.015,-0.146,-0.065
0.608,-0.235,9.718,-0.009,-0.144,-0.061
0.637,-0.186,9.718,0.000,-0.137,-0.053
0.647,-0.324,9.767,-0.000,-0.139,-0.046
0.657,-0.284,9.758,-0.010,-0.143,-0.044
0.745,-0.245,9.709,-0.009,-0.143,-0.041
0.755,-0.294,9.660,0.005,-0.129,-0.038
0.785,-0.284,9.650,-0.012,-0.120,-0.038
0.804,-0.255,9.718,-0.011,-0.114,-0.038
0.853,-0.235,9.679,0.000,-0.111,-0.037
0.883,-0.314,9.640,-0.004,-0.103,-0.034
0.912,-0.235,9.669,-0.013,-0.093,-0.031
0.863,-0.206,9.640,-0.022,-0.090,-0.022
0.892,-0.275,9.650,-0.019,-0.080,-0.008
0.912,-0.226,9.630,-0.016,-0.071,0.010
0.941,-0.108,9.620,-0.003,-0.063,0.028
0.941,-0.167,9.581,-0.000,-0.053,0.046
0.941,-0.177,9.611,-0.019,-0.038,0.063
0.902,-0.098,9.601,-0.020,-0.026,0.072
0.922,-0.226,9.591,-0.014,-0.012,0.078
0.912,-0.275,9.611,-0.017,0.000,0.077
0.883,-0.304,9.591,-0.020,0.014,0.068
0.873,-0.333,9.640,-0.024,0.024,0.058
0.873,-0.284,9.620,-0.021,0.035,0.053
0.892,-0.275,9.620,-0.007,0.047,0.055
0.902,-0.304,9.620,-0.004,0.058,0.055
0.902,-0.314,9.620,-0.002,0.065,0.047
0.951,-0.275,9.650,-0.007,0.075,0.034
0.922,-0.304,9.630,-0.016,0.082,0.016
0.883,-0.255,9.640,-0.021,0.088,0.003
0.873,-0.294,9.660,-0.012,0.095,-0.005
0.941,-0.265,9.640,-0.008,0.104,-0.018
0.873,-0.402,9.669,-0.007,0.108,-0.032
0.873,-0.275,9.709,-0.010,0.110,-0.040
0.863,-0.226,9.728,-0.000,0.111,-0.042
0.834,-0.373,9.718,-0.001,0.108,-0.034
0.814,-0.382,9.738,-0.006,0.106,-0.029
0.745,-0.343,9.758,-0.001,0.104,-0.027
0.628,-0.333,9.758,-0.005,0.100,-0.020
0.588,-0.333,9.767,-0.004,0.099,-0.006
0.539,-0.333,9.787,0.007,0.095,0.013
0.530,-0.373,9.787,0.010,0.091,0.022
0.471,-0.392,9.787,-0.001,0.083,0.029
0.392,-0.333,9.846,0.001,0.074,0.040
0.343,-0.275,9.807,0.010,0.067,0.055
0.314,-0.382,9.787,0.011,0.063,0.067
0.226,-0.284,9.777,0.008,0.057,0.067
0.245,-0.275,9.826,0.013,0.049,0.053
0.235,-0.343,9.836,0.014,0.037,0.043
0.265,-0.314,9.807,0.008,0.027,0.035
0.343,-0.216,9.846,0.016,0.020,0.023
0.314,-0.255,9.816,0.023,0.012,0.005
0.275,-0.265,9.767,0.010,0.006,-0.010
0.265,-0.157,9.748,0.021,0.022,-0.016
0.304,-0.216,9.797,0.039,0.024,-0.023
0.304,-0.255,9.767,0.026,0.010,-0.032
0.304,-0.226,9.836,0.022,0.001,-0.038
0.314,-0.177,9.797,0.037,-0.011,-0.045
0.324,-0.265,9.826,0.037,-0.021,-0.052
0.353,-0.226,9.836,0.028,-0.034,-0.058
0.422,-0.226,9.826,0.029,-0.046,-0.061
0.441,-0.245,9.767,0.030,-0.050,-0.057
0.461,-0.206,9.787,0.022,-0.056,-0.050
0.569,-0.098,9.846,0.027,-0.059,-0.044
0.618,-0.118,9.826,0.024,-0.064,-0.037
0.667,-0.167,9.767,0.026,-0.064,-0.036
0.667,-0.235,9.748,0.017,-0.064,-0.035
0.618,-0.196,9.758,0.017,-0.060,-0.039
0.647,-0.186,9.767,0.009,-0.061,-0.038
0.677,-0.167,9.758,0.005,-0.063,-0.036
0.677,-0.157,9.728,0.009,-0.060,-0.033
0.667,-0.157,9.709,0.011,-0.055,-0.030
0.706,-0.177,9.728,0.010,-0.051,-0.027
0.716,-0.137,9.709,0.008,-0.050,-0.025
0.716,-0.157,9.718,0.003,-0.046,-0.023
0.667,-0.167,9.689,-0.007,-0.042,-0.013
0.696,-0.137,9.718,-0.009,-0.039,-0.001
0.686,-0.167,9.689,-0.006,-0.035,0.012
0.745,-0.118,9.728,-0.003,-0.030,0.026
0.716,-0.020,9.669,-0.006,-0.023,0.036
0.628,0.020,9.689,-0.006,-0.016,0.048
0.579,-0.098,9.679,-0.010,-0.007,0.050
0.588,-0.196,9.689,-0.022,-0.001,0.044
0.598,-0.167,9.669,-0.017,0.005,0.032
0.647,-0.137,9.689,-0.015,0.011,0.027
0.677,-0.186,9.689,-0.016,0.016,0.023
0.628,-0.157,9.689,-0.018,0.021,0.014
0.667,-0.147,9.699,-0.016,0.022,0.012
0.637,-0.147,9.709,-0.015,0.022,0.014
0.628,-0.177,9.689,-0.015,0.025,0.014
0.628,-0.186,9.679,-0.019,0.030,0.014
0.628,-0.186,9.699,-0.022,0.034,0.013
0.608,-0.147,9.679,-0.023,0.036,0.013
0.716,-0.049,9.679,-0.020,0.040,0.013
0.696,-0.186,9.709,-0.024,0.043,0.015
0.745,-0.157,9.689,-0.031,0.044,0.016
0.726,-0.216,9.728,-0.033,0.049,0.011
0.706,-0.255,9.738,-0.029,0.051,-0.001
0.686,-0.245,9.709,-0.034,0.050,-0.013
0.677,-0.275,9.748,-0.033,0.047,-0.026
0.628,-0.245,9.709,-0.028,0.045,-0.028
0.677,-0.255,9.738,-0.025,0.045,-0.024
0.618,-0.314,9.738,-0.027,0.042,-0.020
0.598,-0.265,9.738,-0.026,0.039,-0.018
0.579,-0.304,9.758,-0.021,0.035,-0.018
0.559,-0.314,9.767,-0.023,0.031,-0.019
0.539,-0.284,9.777,-0.019,0.027,-0.018
0.500,-0.294,9.787,-0.015,0.022,-0.018
0.373,-0.333,9.777,-0.014,0.018,-0.017
0.333,-0.235,9.807,-0.015,0.011,-0.015
0.284,-0.235,9.816,-0.004,0.004,-0.006
0.353,-0.265,9.807,-0.001,-0.003,0.006
0.363,-0.343,9.797,-0.006,-0.010,0.018
0.392,-0.294,9.797,0.002,-0.016,0.026
0.431,-0.265,9.807,0.009,-0.020,0.034
0.412,-0.353,9.797,0.006,-0.023,0.041
0.402,-0.304,9.816,0.004,-0.027,0.040
0.412,-0.284,9.807,0.009,-0.030,0.035
0.412,-0.294,9.797,0.010,-0.033,0.029
0.451,-0.265,9.797,0.008,-0.037,0.023
0.471,-0.284,9.787,0.016,-0.039,0.020
0.500,-0.382,9.767,0.011,-0.038,0.015
0.579,-0.412,9.758,0.006,-0.039,0.003
0.569,-0.363,9.738,0.016,-0.037,-0.010
0.579,-0.382,9.767,0.021,-0.036,-0.023
0.628,-0.265,9.718,0.016,-0.036,-0.033
0.696,-0.206,9.767,0.021,-0.032,-0.044
0.706,-0.265,9.689,0.022,-0.029,-0.052
0.755,-0.255,9.709,0.021,-0.028,-0.049
0.794,-0.186,9.748,0.020,-0.027,-0.040
0.755,-0.206,9.758,0.025,-0.026,-0.037
0.735,-0.235,9.728,0.022,-0.024,-0.033
0.775,-0.206,9.709,0.016,-0.019,-0.029
0.745,-0.177,9.718,0.016,-0.016,-0.028
0.765,-0.196,9.718,0.019,-0.011,-0.026
0.765,-0.186,9.718,0.016,-0.008,-0.023
0.775,-0.177,9.718,0.017,-0.004,-0.023
0.755,-0.196,9.728,0.016,0.002,-0.022
0.696,-0.196,9.699,0.011,0.005,-0.018
0.716,-0.147,9.709,0.008,0.008,-0.009
0.706,-0.216,9.689,0.009,0.013,0.003
0.735,-0.186,9.699,0.007,0.020,0.016
0.745,-0.186,9.699,0.004,0.023,0.023
0.735,-0.167,9.699,0.005,0.028,0.030
0.735,-0.177,9.679,0.002,0.033,0.040
0.726,-0.157,9.669,-0.002,0.036,0.045
0.579,-0.078,9.679,0.002,0.042,0.049
0.481,-0.098,9.699,0.003,0.045,0.050
0.481,-0.088,9.709,-0.007,0.046,0.048
0.481,-0.118,9.689,-0.007,0.048,0.043
0.628,-0.137,9.718,-0.003,0.048,0.029
0.588,-0.147,9.718,-0.002,0.047,0.015
0.569,-0.147,9.718,-0.010,0.046,-0.000
0.559,-0.137,9.718,-0.014,0.046,-0.012
0.539,-0.147,9.748,-0.011,0.045,-0.019
0.510,-0.157,9.728,-0.012,0.041,-0.026
0.520,-0.167,9.748,-0.016,0.039,-0.032
0.500,-0.196,9.738,-0.014,0.035,-0.039
0.539,-0.157,9.807,-0.014,0.029,-0.039
0.559,-0.157,9.777,-0.015,0.025,-0.030
0.598,-0.118,9.748,-0.019,0.019,-0.014
0.559,-0.098,9.758,-0.021,0.012,0.003
0.539,-0.157,9.767,-0.023,0.007,0.013
0.530,-0.157,9.777,-0.025,0.001,0.021
0.510,-0.147,9.787,-0.023,-0.003,0.028
0.490,-0.216,9.787,-0.027,-0.008,0.036
0.471,-0.196,9.807,-0.029,-0.011,0.042
0.471,-0.206,9.807,-0.026,-0.017,0.053
0.412,-0.226,9.767,-0.029,-0.017,0.065
0.412,-0.265,9.807,-0.035,-0.017,0.079
0.422,-0.304,9.797,-0.031,-0.018,0.089
0.373,-0.304,9.787,-0.031,-0.022,0.090
0.382,-0.392,9.797,-0.026,-0.022,0.081
0.382,-0.510,9.787,-0.028,-0.024,0.067
0.481,-0.451,9.787,-0.023,-0.024,0.051
0.471,-0.392,9.777,-0.020,-0.024,0.033
0.490,-0.363,9.816,-0.024,-0.029,0.019
0.500,-0.363,9.807,-0.008,-0.035,0.013
0.490,-0.412,9.758,-0.001,-0.036,0.005
0.520,-0.392,9.758,-0.009,-0.036,-0.007
0.530,-0.324,9.777,-0.001,-0.033,-0.013
0.539,-0.363,9.767,0.009,-0.035,-0.019
0.549,-0.392,9.767,0.002,-0.035,-0.028
0.569,-0.343,9.748,0.003,-0.037,-0.032
0.628,-0.343,9.738,0.017,-0.039,-0.031
0.667,-0.373,9.738,0.020,-0.038,-0.025
0.706,-0.275,9.748,0.016,-0.039,-0.015
0.647,-0.245,9.699,0.027,-0.036,-0.002
0.667,-0.206,9.748,0.030,-0.036,0.023
0.618,-0.059,9.699,0.025,-0.034,0.061
0.735,-0.108,9.748,0.025,-0.034,0.090
0.706,-0.088,9.728,0.029,-0.029,0.123
0.726,-0.196,9.689,0.023,-0.024,0.148
0.716,-0.206,9.699,0.021,-0.014,0.162
0.598,-0.343,9.709,0.012,-0.009,0.168
0.500,-0.461,9.669,0.002,-0.001,0.152
0.471,-0.392,9.699,0.003,0.007,0.129
0.510,-0.333,9.669,0.014,0.016,0.115
0.549,-0.294,9.689,0.008,0.021,0.101
0.579,-0.314,9.738,0.009,0.018,0.101
0.598,-0.265,9.699,0.031,0.018,0.101
0.588,-0.392,9.630,0.032,0.028,0.093
0.539,-0.402,9.689,0.017,0.037,0.077
0.549,-0.314,9.728,0.027,0.041,0.062
0.569,-0.324,9.718,0.034,0.041,0.054
0.588,-0.353,9.669,0.021,0.041,0.048
0.598,-0.265,9.660,0.021,0.051,0.037
0.618,-0.304,9.689,0.031,0.059,0.027
0.608,-0.333,9.718,0.026,0.060,0.018
0.598,-0.245,9.709,0.028,0.061,0.012
0.588,-0.216,9.699,0.036,0.065,0.005
0.549,-0.255,9.728,0.032,0.069,-0.003
0.549,-0.206,9.748,0.019,0.071,-0.009
0.539,-0.147,9.748,0.022,0.069,-0.014
0.539,-0.167,9.748,0.028,0.069,-0.017
0.500,-0.167,9.758,0.022,0.068,-0.020
0.471,-0.127,9.787,0.020,0.066,-0.023
0.441,-0.127,9.797,0.021,0.062,-0.026
0.422,-0.137,9.787,0.016,0.056,-0.030
0.402,-0.108,9.797,0.009,0.051,-0.033
0.382,-0.088,9.807,0.010,0.045,-0.037
0.392,-0.157,9.777,0.007,0.036,-0.042
0.441,-0.108,9.807,0.006,0.028,-0.054
0.412,-0.069,9.797,0.004,0.020,-0.068
0.373,-0.118,9.826,0.004,0.010,-0.085
0.324,-0.118,9.836,-0.004,-0.001,-0.095
0.373,-0.059,9.846,-0.008,-0.012,-0.102
0.402,-0.167,9.816,-0.006,-0.025,-0.103
0.431,-0.127,9.816,-0.008,-0.036,-0.097
0.471,-0.118,9.816,-0.008,-0.046,-0.091
0.431,-0.108,9.836,-0.005,-0.055,-0.081
0.431,-0.127,9.797,-0.010,-0.063,-0.076
0.471,-0.108,9.797,-0.017,-0.070,-0.071
0.481,-0.108,9.807,-0.018,-0.076,-0.066
0.490,-0.147,9.797,-0.017,-0.080,-0.063
0.510,-0.127,9.807,-0.024,-0.086,-0.056
0.471,-0.108,9.777,-0.026,-0.090,-0.043
0.510,-0.147,9.787,-0.020,-0.092,-0.030
0.549,-0.167,9.758,-0.026,-0.092,-0.019
0.579,-0.137,9.748,-0.032,-0.091,-0.009
